game_id,date,home_team,away_team,home_score,away_score,home_win
0022501228,2025-12-14,PHX,LAL,114,116,0
0022501216,2025-12-14,IND,WAS,89,108,0
0022501223,2025-12-14,CHI,NOP,104,114,0
0022501220,2025-12-14,MIN,SAC,117,103,1
0022501218,2025-12-14,CLE,CHA,111,119,0
0022501219,2025-12-14,BKN,MIL,127,82,1
0022501217,2025-12-14,ATL,PHI,120,117,1
0022501222,2025-12-15,BOS,DET,105,112,0
0022501224,2025-12-15,UTA,DAL,140,133,1
0022501227,2025-12-15,MIA,TOR,96,106,0
0022501226,2025-12-15,LAC,MEM,103,121,0
0022501225,2025-12-15,DEN,HOU,128,125,1
0022500368,2025-12-17,MIN,MEM,110,116,0
0022500367,2025-12-17,CHI,CLE,127,111,1
0022500373,2025-12-18,BKN,MIA,95,106,0
0022500379,2025-12-18,UTA,LAL,135,143,0
0022500369,2025-12-18,OKC,LAC,122,101,1
0022500376,2025-12-18,DAL,DET,116,114,1
0022500371,2025-12-18,CHA,ATL,133,126,1
0022500377,2025-12-18,DEN,ORL,126,115,1
0022500374,2025-12-18,MIL,TOR,105,111,0
0022500378,2025-12-18,PHX,GSW,99,98,1
0022500380,2025-12-18,POR,SAC,134,133,1
0022500370,2025-12-18,SAS,WAS,119,94,1
0022500375,2025-12-18,NOP,HOU,133,128,1
0022500372,2025-12-18,IND,NYK,113,114,0
0022500382,2025-12-19,NYK,PHI,107,116,0
0022500381,2025-12-19,BOS,MIA,129,116,1
0022500385,2025-12-19,MIN,OKC,112,107,1
0022500383,2025-12-19,ATL,SAS,98,126,0
0022500384,2025-12-19,CLE,CHI,125,136,0
0022500386,2025-12-20,DEN,HOU,101,115,0
0022500388,2025-12-20,TOR,BOS,96,112,0
0022500394,2025-12-20,SAC,POR,93,98,0
0022500393,2025-12-20,UTA,ORL,127,128,0
0022500389,2025-12-20,NOP,IND,128,109,1
0022500390,2025-12-20,DET,CHA,112,86,1
0022500387,2025-12-20,PHI,DAL,121,114,1
0022500391,2025-12-20,MEM,WAS,122,130,0
0022500395,2025-12-20,LAC,LAL,103,88,1
0022500392,2025-12-20,GSW,PHX,119,116,1
0022500396,2025-12-21,ATL,CHI,150,152,0
0022500399,2025-12-21,WAS,SAS,113,124,0
0022500400,2025-12-21,MIN,MIL,103,100,1
0022500398,2025-12-21,NYK,MIA,132,125,1
0022500401,2025-12-21,SAC,HOU,125,124,1
0022500397,2025-12-21,BKN,TOR,96,81,1
0022500405,2025-12-22,DEN,UTA,135,112,1
0022500408,2025-12-22,POR,DET,102,110,0
0022500404,2025-12-22,NOP,DAL,119,113,1
0022500403,2025-12-22,BOS,IND,103,95,1
0022500407,2025-12-22,GSW,ORL,120,97,1
0022500402,2025-12-22,CLE,CHA,139,132,1
0022500406,2025-12-22,OKC,MEM,119,103,1
0022500409,2025-12-23,CHA,WAS,126,109,1
0022500410,2025-12-23,PHI,BKN,106,114,0
0022500414,2025-12-23,MIA,TOR,91,112,0
0022500418,2025-12-23,PHX,LAL,132,108,1
0022500411,2025-12-23,ATL,CHI,123,126,0
0022500419,2025-12-23,UTA,MEM,128,137,0
0022500412,2025-12-23,CLE,NOP,141,118,1
0022500416,2025-12-23,MIN,NYK,115,104,1
0022500415,2025-12-23,DAL,DEN,131,130,1
0022500417,2025-12-23,SAS,OKC,130,110,1
0022500422,2025-12-23,LAC,HOU,128,108,1
0022500413,2025-12-23,IND,MIL,94,111,0
0022500421,2025-12-23,SAC,DET,127,136,0
0022500420,2025-12-23,POR,ORL,106,110,0
0022500009,2025-12-25,NYK,CLE,126,124,1
0022500013,2025-12-25,DEN,MIN,142,138,1
0022500012,2025-12-25,LAL,HOU,96,119,0
0022500011,2025-12-25,GSW,DAL,126,116,1
0022500010,2025-12-25,OKC,SAS,102,117,0
0022500426,2025-12-26,IND,BOS,122,140,0
0022500423,2025-12-26,ATL,MIA,111,126,0
0022500428,2025-12-26,MEM,MIL,125,104,1
0022500424,2025-12-26,ORL,CHA,105,120,0
0022500427,2025-12-26,CHI,PHI,109,102,1
0022500429,2025-12-26,NOP,PHX,108,115,0
